lookup_key,company_name,activities,expiry_date,status,source
ESG SECURITY LIMITED,ESG Security Limited,"DS, SG, KH, CCTV",31-Mar-27,approved,sia_acs_register_html
PROMONT LTD,Promont LTD,SG,31-Mar-28,approved,sia_acs_register_html
EUROPEAN SECURITY SERVICES (LONDON) LIMITED,European Security Services (London) Limited,"DS, SG",31-Oct-27,approved,sia_acs_register_html
EVENSURE MANAGEMENT LIMITED,Evensure Management Limited,"SG, KH",31-Mar-27,approved,sia_acs_register_html
EVENTSEC LIMITED,Eventsec Limited,"SG, DS, CCTV, CP",31-Dec-28,approved,sia_acs_register_html
EXCALIBER SECURITY SERVICES LTD,Excaliber Security Services Ltd,SG,31-Jul-27,approved,sia_acs_register_html
EXCELLERATE SERVICES UK LIMITED,Excellerate Services UK Limited,SG,30-Apr-28,approved,sia_acs_register_html
EXECUTIVE COMMAND LIMITED,Executive Command Limited,DS,30-Mar-28,approved,sia_acs_register_html
EXECUTIVE UK GROUP LIMITED T/A EXECUTIVE SECURITY PROFESSIONALS (ESP),Executive UK Group Limited t/a Executive Security Professionals (ESP),DS,31-Dec-26,approved,sia_acs_register_html
EYEWATCH SECURITY LIMITED,Eyewatch Security Limited,"SG, KH",30-Sep-28,approved,sia_acs_register_html
FALCK FIRE SERVICES UK LTD,Falck Fire Services UK Ltd,SG,31-Aug-27,approved,sia_acs_register_html
FALCON SECURITY LIMITED,Falcon Security Limited,SG,31-May-27,approved,sia_acs_register_html
FALLOW MANAGEMENT LIMITED,Fallow Management Limited,"SG, CCTV",31-Jul-27,approved,sia_acs_register_html
FGH SECURITY LIMITED,FGH Security Limited,"SG, DS",31-May-27,approved,sia_acs_register_html
FIRST FORCE SECURITY SERVICES LIMITED,First Force Security Services Limited,SG,30-Apr-27,approved,sia_acs_register_html
FIRST RESPONSE FACILITIES MANAGEMENT LTD,First Response Facilities Management Ltd,SG,31-Mar-28,approved,sia_acs_register_html
FIRST RESPONSE GROUP LIMITED,First Response Group Limited,"SG, KH, CCTV, DS",31-Mar-29,approved,sia_acs_register_html
FIRST UK SECURITY SERVICES LIMITED,First UK Security Services Limited,SG,30-Jun-29,approved,sia_acs_register_html
FLEETVILLE SECURITY LTD,Fleetville Security Ltd,SG,31-Jan-28,approved,sia_acs_register_html
FOREMOST SECURITY LIMITED,Foremost Security Limited,"SG, KH",30-Sep-26,approved,sia_acs_register_html
FORTEXO FM LTD,Fortexo FM LTD,SG,30-Jun-27,approved,sia_acs_register_html
FORTUNE SECURITY LIMITED,Fortune Security Limited,SG,31-Jan-27,approved,sia_acs_register_html
FRANKTON GROUP LTD,Frankton Group Ltd,"SG, KH",31-Mar-27,approved,sia_acs_register_html
FRONTLINE SECURITY 247 LIMITED,Frontline Security 247 Limited,"SG, DS, KH",30-Jun-27,approved,sia_acs_register_html
FRONTLINE TOTAL SECURITY LIMITED,Frontline Total Security Limited,"SG, KH",31-Mar-29,approved,sia_acs_register_html
FSI EUROPE LIMITED,FSI Europe Limited,SG,31-May-27,approved,sia_acs_register_html
G4S CASH SOLUTIONS (UK) LIMITED,G4S Cash Solutions (UK) Limited,CViT,31-Mar-27,approved,sia_acs_register_html
G4S SECURE SOLUTIONS (UK) LIMITED,G4S Secure Solutions (UK) Limited,"SG, CCTV, KH, DS",31-Mar-27,approved,sia_acs_register_html
GB MONITORING LIMITED,GB Monitoring Limited,SG,31-Aug-27,approved,sia_acs_register_html
GBSG (GUARDING) LIMITED,GBSG (Guarding) Limited,"SG, KH",30-Jun-27,approved,sia_acs_register_html
GLEVUM SECURITY LIMITED,Glevum Security Limited,"SG, KH",30-Jun-27,approved,sia_acs_register_html
GLOBAL SECURITY GUARDS LTD,Global Security Guards LTD,SG,31-Mar-27,approved,sia_acs_register_html
GLOBAL SUPPORT SERVICES (UK) LIMITED,Global Support Services (UK) Limited,SG,31-Dec-26,approved,sia_acs_register_html
GLOUCESTERSHIRE COUNTY SECURITY LTD,Gloucestershire County Security Ltd,"SG, KH",31-Jan-27,approved,sia_acs_register_html
GMS SECURITY SERVICES LIMITED,GMS Security Services Limited,"SG, KH",31-May-27,approved,sia_acs_register_html
GOLDEN CROWN MANAGEMENT LIMITED,Golden Crown Management Limited,"SG, KH",30-Nov-26,approved,sia_acs_register_html
GOUGH AND KELLY SECURITY LIMITED,Gough and Kelly Security Limited,"SG, DS, CCTV, KH",31-Oct-28,approved,sia_acs_register_html
GRAFFINS SERVICES LIMITED,Graffins Services Limited,SG,31-Oct-28,approved,sia_acs_register_html
GRAIL ENTERPRISES LIMITED T/A MOBIUS SPECIALIST PROPERTY SERVICES,Grail Enterprises Limited t/a Mobius specialist Property Services,SG,30-Apr-29,approved,sia_acs_register_html
GROSVENOR CORPORATE SECURITY LIMITED,Grosvenor Corporate Security Limited,"SG, CCTV, KH",29-Feb-28,approved,sia_acs_register_html
GROSVENOR SECURITY AND CLEANING SERVICES LIMITED,Grosvenor Security and Cleaning Services Limited,"SG, KH",30-Apr-29,approved,sia_acs_register_html
GSD SECURITY LIMITED,GSD Security Limited,"SG, KH",31-Jul-28,approved,sia_acs_register_html
GSL DARDAN LIMITED,GSL Dardan Limited,"SG, KH",31-Mar-27,approved,sia_acs_register_html
GSS SECURITY SERVICES LTD,GSS Security Services Ltd,SG,30-Nov-27,approved,sia_acs_register_html
GTS SOLUTIONS CIC,GTS Solutions CIC,"SG, DS",31-Mar-27,approved,sia_acs_register_html
GUARANTOR SECURITY LIMITED,Guarantor Security Limited,"SG, KH",31-Mar-27,approved,sia_acs_register_html
GUARDFORCE SECURITY LIMITED,Guardforce Security Limited,"SG, DS, CP",31-Jul-29,approved,sia_acs_register_html
GUARDFORCE SECURITY SERVICES LIMITED T/A GUARDFORCE GLOBAL SECURITY & RELATED SERVICES,Guardforce Security Services Limited t/a Guardforce Global Security & Related Services,"SG, KH",31-Aug-27,approved,sia_acs_register_html
GUARDIAN PROTECTION SERVICES LIMITED,Guardian Protection Services Limited,"SG, KH, CCTV",30-Apr-28,approved,sia_acs_register_html
GUARDIANFM LIMITED,GuardianFM Limited,SG,28-Feb-29,approved,sia_acs_register_html
GUARDIANSHIP SERVICES LTD,Guardianship Services Ltd,"SG, KH",31-Aug-27,approved,sia_acs_register_html
GUARDING NATIONWIDE LTD,Guarding Nationwide Ltd,"SG, KH,",30-Jun-27,approved,sia_acs_register_html
GUARDING PROFESSIONALS LIMITED,Guarding Professionals Limited,"SG, KH",31-Aug-28,approved,sia_acs_register_html
GUARDING SOLUTIONS & TRAINING SERVICES LTD,Guarding Solutions & Training Services Ltd,"SG, CCTV",30-Nov-26,approved,sia_acs_register_html
GUARDING UK LIMITED,Guarding UK Limited,"SG, KH, CCTV",30-Sep-27,approved,sia_acs_register_html
GUARDIOR SECURITY LIMITED,Guardior Security Limited,SG,31-Jan-29,approved,sia_acs_register_html
GUARDWATCH SECURITY (UK) LIMITED,Guardwatch Security (UK) Limited,SG,31-May-27,approved,sia_acs_register_html
GURKHA SECURITY SERVICES LIMITED,Gurkha Security Services Limited,SG,30-Jun-29,approved,sia_acs_register_html
H & M SECURITY SERVICES LIMITED,H & M Security Services Limited,"SG, KH",31-Jul-28,approved,sia_acs_register_html
H&A PROTECTION SERVICES LIMITED,H&A Protection Services Limited,"SG, KH",30-Apr-27,approved,sia_acs_register_html
H&S FM LTD,H&S FM LTD,SG,31-Dec-28,approved,sia_acs_register_html
HACKLE SECURITY SERVICES LIMITED,Hackle Security Services Limited,"SG, KH, CCTV",30-Jun-29,approved,sia_acs_register_html
HALLMARK SECURITY LIMITED,Hallmark Security Limited,SG,30-Nov-27,approved,sia_acs_register_html
HAMTON ENVIRONMENTAL SERVICES LTD,Hamton Environmental Services Ltd,SG,30-Nov-27,approved,sia_acs_register_html
HARRIS SECURITY SERVICES LTD,Harris Security Services Ltd,"SG, KH",31-Aug-26,approved,sia_acs_register_html
HEADLINE SECURITY LIMITED,Headline Security Limited,"SG, DS",31-Jan-27,approved,sia_acs_register_html
HEQLAS INTEGRATED SERVICES LTD,Heqlas Integrated Services Ltd,DS,31-May-29,approved,sia_acs_register_html
HERONGRANGE GROUP LIMITED,Herongrange Group Limited,"SG, KH, CP, DS",31-Oct-27,approved,sia_acs_register_html
HINSON SECURITY SERVICES LIMITED,Hinson Security Services Limited,SG,31-Jan-28,approved,sia_acs_register_html
HK9 SECURITY SERVICES LTD,HK9 Security Services Ltd,"SG, KH",29-Feb-28,approved,sia_acs_register_html
HPS SERVICES FM LTD,HPS Services FM Ltd,SG,30-Apr-28,approved,sia_acs_register_html
ICTS (UK) LIMITED,ICTS (UK) Limited,"SG, CCTV",31-Mar-27,approved,sia_acs_register_html
IMPACT SERVICES (NORTHERN) LIMITED (TRADING AS IMPACT SECURITY SOLUTIONS),Impact Services (Northern) Limited (trading as Impact Security Solutions),"SG, KH",30-Jun-27,approved,sia_acs_register_html
INDEPENDENT CONTRACTOR SECURITY LIMITED,Independent Contractor Security Limited,"SG, KH",31-Jan-28,approved,sia_acs_register_html
INLINE RISK SOLUTIONS LTD,InLine Risk Solutions Ltd,SG,31-Jul-29,approved,sia_acs_register_html
INNOVATIVE SECURITY SOLUTIONS LIMITED,Innovative Security Solutions Limited,"SG, DS, KH",31-Jan-27,approved,sia_acs_register_html
INQUEST CANINE DETECTION & SECURITY LIMITED,Inquest Canine Detection & Security Limited,"SG, DS",31-Mar-28,approved,sia_acs_register_html
INNOVENTIVE PROPERTY SERVICES LTD,Innoventive Property Services Ltd,SG,31-May-28,approved,sia_acs_register_html
INSEC N.IRELAND LIMITED,Insec N.Ireland Limited,"SG, KH",31-Mar-27,approved,sia_acs_register_html
INTACEPT MANAGEMENT LIMITED,Intacept Management Limited,"SG, KH",31-Mar-27,approved,sia_acs_register_html
INTEGRA SECURITY GROUP LTD,Integra Security Group Ltd,SG,30-Sep-27,approved,sia_acs_register_html
REACT SECURITY GROUP LTD,React Security Group Ltd,"SG, DS",31-May-27,approved,sia_acs_register_html
INTEGRATED VISUAL PROTECTION LIMITED,Integrated Visual Protection Limited,"SG, KH, CCTV",31-Mar-27,approved,sia_acs_register_html
INTEGRITY SECURITY GROUP LIMITED T/A INTEGRITY,Integrity Security Group Limited t/a Integrity,"SG, KH",31-Oct-26,approved,sia_acs_register_html
INTERFORCE LIMITED,Interforce Limited,SG,31-Oct-27,approved,sia_acs_register_html
INTERR LIMITED,Interr Limited,"SG, DS",30-Jun-28,approved,sia_acs_register_html
INTRAGUARD LIMITED,Intraguard Limited,"SG, KH",30-Jun-28,approved,sia_acs_register_html
ISA SUPPORT SERVICES LIMITED,ISA Support Services Limited,"SG, KH",31-Mar-27,approved,sia_acs_register_html
ISG COMMERCIAL LTD,ISG Commercial Ltd,"SG, DS, CCTV",30-Apr-28,approved,sia_acs_register_html
ISS FACILITY SERVICES LIMITED (TRADING AS ISS FACILITY SERVICES � SECURITY),ISS Facility Services Limited (trading as ISS Facility Services � Security),"SG, CCTV",31-Mar-27,approved,sia_acs_register_html
"ISS MEDICLEAN LIMITED (TRADING AS ISS FACILITY SERVICES, HEALTHCARE, EDUCATION, GOVERNMENT & AUTHORITIES, DEFENCE, B&I, AND KEY ACCOUNTS 2)","ISS Mediclean Limited (trading as ISS Facility Services, Healthcare, Education, Government & Authorities, Defence, B&I, and Key Accounts 2)","SG, CCTV",31-Mar-27,approved,sia_acs_register_html
I-WATCHERS LIMITED,I-Watchers Limited,"SG, KH",31-Mar-27,approved,sia_acs_register_html
JSL SERVICES LTD,JSL Services Ltd,"SG, KH, CCTV",31-May-29,approved,sia_acs_register_html
JADE SECURITY SERVICES LIMITED T/A PIVOTAL SEC PLUS,Jade Security Services Limited T/A Pivotal Sec Plus,CViT,31-May-29,approved,sia_acs_register_html
JAG FORCE SECURITY LTD,Jag Force Security Ltd,"SG, DS",30-Apr-28,approved,sia_acs_register_html
J.A.K.K SECURITY & FACILITIES MANAGEMENT LTD,J.A.K.K Security & Facilities Management Ltd,"SG, KH",31-Jan-29,approved,sia_acs_register_html
JANNET SECURITY SERVICES LTD,Jannet Security Services Ltd,"SG, KH",30/11/2027,approved,sia_acs_register_html
JAR SITE SOLUTIONS LTD,JAR Site Solutions Ltd,"SG, DS",31-Mar-28,approved,sia_acs_register_html
JOINT SECURITY SERVICES LTD,Joint Security Services Ltd,"SG, CCTV",30-Nov-27,approved,sia_acs_register_html
JOSOEMAG SERVICES LTD,Josoemag Services Ltd,SG,31-Dec-25,approved,sia_acs_register_html
JW PARFITT & SONS LIMITED (TRADING AS NITELITE SECURITY SERVICES),JW Parfitt & Sons Limited (trading as Nitelite Security Services),"SG, KH",31-Aug-28,approved,sia_acs_register_html
K N SECURITY SERVICES LIMITED,K N Security Services Limited,DS,30-Sep-26,approved,sia_acs_register_html
K2 SERVICES LIMITED,K2 Services Limited,"SG, DS",31/08/20274,approved,sia_acs_register_html
CM SECURITY SERVICES LIMITED,CM Security Services Limited,"SG, DS, KH",28-Feb-27,approved,sia_acs_register_html
K9 PROTECTION LTD,K9 Protection Ltd,"SG, KH",31-Aug-27,approved,sia_acs_register_html
KA SERVICES (UK) LIMITED,KA Services (UK) Limited,SG,30-Sep-28,approved,sia_acs_register_html
KARMA SECURITY SOLUTIONS LTD,Karma Security Solutions Ltd,KH,30-Apr-28,approved,sia_acs_register_html
KBG SECURITY SOLUTIONS LIMITED,KBG Security Solutions Limited,"SG, DS",30-Nov-26,approved,sia_acs_register_html
KESTREL GUARDS LIMITED,Kestrel Guards Limited,"SG, KH",31-May-27,approved,sia_acs_register_html
KEY CONTROL SERVICES LIMITED,Key Control Services Limited,"SG, KH",31-Jul-28,approved,sia_acs_register_html
KEY SECURITY (UK) LTD,Key Security (UK) Ltd,"SG, KH",30-Sep-27,approved,sia_acs_register_html
WESTMINSTER GLOBAL SERVICES LIMITED,Westminster Global Services Limited,SG,30-Apr-29,approved,sia_acs_register_html
KEYPLUS SECURITY LIMITED,KeyPlus Security Limited,"SG, KH",30-Apr-28,approved,sia_acs_register_html
KINGDOM SERVICES GROUP LIMITED (TRADING AS KINGDOM),Kingdom Services Group Limited (trading as Kingdom),"SG, KH, CCTV",31-May-27,approved,sia_acs_register_html
KINGFISHER GUARDING SERVICES LTD T/A KINGFISHER SEC,Kingfisher Guarding Services Ltd t/a Kingfisher SEC,SG,31-May-29,approved,sia_acs_register_html
KINGS ARMOURED SECURITY SERVICES LIMITED,Kings Armoured Security Services Limited,CViT,30-Sep-28,approved,sia_acs_register_html
KINGS GUARDING SOLUTIONS LIMITED,Kings Guarding Solutions Limited,"SG, KH, CCTV",30-Sep-28,approved,sia_acs_register_html
KINGS SECURITY SYSTEMS LTD T/A KINGS SECURE TECHNOLOGIES,Kings Security Systems Ltd T/A Kings Secure Technologies,"SG, KH, CCTV",30-Sep-26,approved,sia_acs_register_html
KINGWOOD SERVICES LTD,Kingwood Services Ltd,"SG, KH",31-Aug-28,approved,sia_acs_register_html
KINSLEY LIMITED,Kinsley Limited,SG,31-Dec-28,approved,sia_acs_register_html
KK SECURITY & FM LTD,KK Security & FM Ltd,SG,30-Sep-27,approved,sia_acs_register_html
KM FACILITIES MANAGEMENT GROUP PLC,KM Facilities Management Group PLC,"SG, KH",30-Nov-27,approved,sia_acs_register_html
KNIGHT PROTECTION LIMITED,Knight Protection Limited,"SG, KH, DS, CP, CCTV",31-Mar-27,approved,sia_acs_register_html
KOPEK SECURITY AND FACILITIES LTD,Kopek Security and Facilities Ltd,"DS, SG, KH",30-Sep-28,approved,sia_acs_register_html
KRYPTON FM GROUP LIMITED,Krypton FM Group Limited,"SG, KH",31-Oct-26,approved,sia_acs_register_html
KSS NW LTD,KSS NW Ltd,"SG, DS",31-May-29,approved,sia_acs_register_html
L & T FACILITIES MANAGEMENT LTD T/ A CHRODA FACILITIES MANAGEMENT,L & T Facilities Management Ltd t/ a Chroda Facilities Management,SG,30-Sep-27,approved,sia_acs_register_html
LAND SECURITY LTD,Land Security Ltd,SG,31-Aug-27,approved,sia_acs_register_html
LAND SHERIFFS LIMITED,Land Sheriffs Limited,SG,31-Aug-27,approved,sia_acs_register_html
LEISUREGUARD (UK) LIMITED,Leisureguard (UK) Limited,"SG, DS, KH",30-Jun-26,approved,sia_acs_register_html
LEON GUARDING & FM LIMITED,Leon Guarding & FM Limited,"SG, KH",31-Oct-26,approved,sia_acs_register_html
LEVERAGE ENTERPRISES LTD T/A LEVERAGE SECURITY,Leverage Enterprises Ltd t/a Leverage Security,"SG, KH",31-Oct-27,approved,sia_acs_register_html
LIFEFORCE SECURITY LIMITED,Lifeforce Security Limited,"SG, DS",31-Dec-26,approved,sia_acs_register_html
LINE SECURITY SERVICES LTD,Line Security Services Ltd,SG,30-Sep-28,approved,sia_acs_register_html
LINGWOOD SECURITY MANAGEMENT LIMITED,Lingwood Security Management Limited,"SG, KH",31-Jan-29,approved,sia_acs_register_html
LLOYDS SECURITY SERVICES LIMITED,Lloyds Security Services Limited,SG,28-Feb-29,approved,sia_acs_register_html
LODGE SECURITY LIMITED,Lodge Security Limited,"SG, KH",30-Apr-27,approved,sia_acs_register_html
LONDON SECURITY SERVICES (UK) LIMITED,London Security Services (UK) Limited,"SG, DS, KH",28-Feb-28,approved,sia_acs_register_html
LOOMIS UK LIMITED,Loomis UK Limited,CViT,31-Mar-27,approved,sia_acs_register_html
LOYAL RELIANCE SERVICES LIMITED,Loyal Reliance Services Limited,SG,31-Oct-28,approved,sia_acs_register_html
LOYAL SECURITY LIMITED,Loyal Security Limited,SG,30-Sep-27,approved,sia_acs_register_html
LOZDON GROUP LIMITED,LOZDON GROUP LIMITED,SG,31-Dec-26,approved,sia_acs_register_html
LRM SECURITY LTD,LRM Security Ltd,"SG, KH",31-Aug-27,approved,sia_acs_register_html
M B S SECURITY & FACILITIES MANAGEMENT LTD,M B S Security & Facilities Management Ltd,SG,31-Mar-27,approved,sia_acs_register_html
M&R SOLUTIONS LIMITED (TRADING AS NEXUS NATIONAL SECURITY NETWORK),M&R Solutions Limited (trading as Nexus National Security Network),"SG, KH",30-Nov-27,approved,sia_acs_register_html
M4 SECURITY GROUP LIMITED,M4 Security Group Limited,SG,31-Jul-28,approved,sia_acs_register_html
MADIGANGILL RESOURCE LIMITED,MadiganGill Resource Limited,SG,31-Dec-27,approved,sia_acs_register_html
MAGENTA SECURITY SERVICES LIMITED,Magenta Security Services Limited,"SG, KH",30-Apr-27,approved,sia_acs_register_html
MAGPIE SECURITY LIMITED,Magpie Security Limited,"SG, KH",31-Mar-27,approved,sia_acs_register_html
MAIN EVENT SECURITY LIMITED,Main Event Security Limited,"SG, DS",30-Sep-26,approved,sia_acs_register_html
MAK INTEGRATED SERVICES LIMITED,MAK Integrated Services Limited,"SG, KH",30-Apr-28,approved,sia_acs_register_html
MAN COMMERCIAL PROTECTION LIMITED,Man Commercial Protection Limited,"SG, DS, KH, CCTV",31-Dec-27,approved,sia_acs_register_html
MANE K9 SECURITY SERVICES LTD,Mane K9 Security Services Ltd,SG,31-Mar-27,approved,sia_acs_register_html
MARINA SERVICES LIMITED (TRADING AS MSL SECURITY),Marina Services Limited (trading as MSL Security),"SG, CCTV, KH",31-Dec-28,approved,sia_acs_register_html
MARITIME ASSET SECURITY AND TRAINING (MAST) LTD T/A MAST / M.A.S.T,Maritime Asset Security and Training (MAST) Ltd t/a MAST / M.A.S.T,"SG, CP",31-Mar-29,approved,sia_acs_register_html
MARVELLOUS SECURITY SERVICES LTD,Marvellous Security Services Ltd,"SG, KH",31-Dec-26,approved,sia_acs_register_html
MAXIPOWER SECURITY AND FACILITIES MANAGEMENT GROUP LIMITED,Maxipower Security and Facilities Management Group Limited,SG,30-Apr-29,approved,sia_acs_register_html
MAYFLOWER CONTROL LIMITED,Mayflower Control Limited,"SG, KH",31-Jul-28,approved,sia_acs_register_html
MBC SECURITY LIMITED,MBC Security Limited,SG,31-May-28,approved,sia_acs_register_html
MCKENNA GLOBAL SERVICES LTD,McKenna Global Services Ltd,"SG, DS, KH",28-Feb-27,approved,sia_acs_register_html
MCKENZIE ARNOLD GROUP LIMITED,Mckenzie Arnold Group Limited,"SG, DS",30-Nov-26,approved,sia_acs_register_html
MEC SECURITY LIMITED,MEC Security Limited,SG,30-Apr-27,approved,sia_acs_register_html
MEDIA SECURITIES LIMITED,Media Securities Limited,"SG, DS",30-Sep-27,approved,sia_acs_register_html
MERCURY SECURITY AND FACILITIES MANAGEMENT LIMITED,Mercury Security And Facilities Management Limited,"SG, KH, CCTV, DS",31-Oct-27,approved,sia_acs_register_html
METROPOLE GUARD SECURITY LTD,Metropole Guard Security Ltd,SG,31-Oct-28,approved,sia_acs_register_html
METROPOLIS SECURITY LIMITED,Metropolis Security Limited,"SG, KH",31-Mar-27,approved,sia_acs_register_html
MHH SECURITY LTD T/A UNIGUARD SECURITY,MHH Security Ltd t/a Uniguard Security,"SG, DS, KH",30-Nov-27,approved,sia_acs_register_html
MIDCORE GROUP LTD T/A MIDCORE SECURITY & FACILITIES MANAGEMENT,Midcore Group Ltd t/a Midcore Security & Facilities Management,SG,31-Oct-27,approved,sia_acs_register_html
MIG SECURITY & EVENTS LIMITED TRADING AS MBSS,MIG Security & Events Limited trading as MBSS,"SG, KH",30-Sep-28,approved,sia_acs_register_html
MILNE MANAGEMENT LTD T/A MILNE SECURITY SERVICES,Milne Management Ltd t/a Milne Security Services,"SG, KH",30-Apr-27,approved,sia_acs_register_html
MINERVA ELITE LTD,Minerva Elite Ltd,"SG, CP",30-Apr-29,approved,sia_acs_register_html
MINIMAL RISK CONSULTANCY LIMITED,Minimal Risk Consultancy Limited,SG,30-Jun-27,approved,sia_acs_register_html
MINISTRY PROTECTIVE LTD,Ministry Protective Ltd,"DS, CP",31-May-28,approved,sia_acs_register_html
"MITIE GROUP PLC (INCORPORATING MITIE SECURITY (FIRST) LIMITED, MITIE FM LIMITED, MITIE SECURITY (KNIGHTSBRIDGE) LIMITED AND MITIE FS(UK)LTD)","Mitie Group PLC (incorporating Mitie Security (First) Limited, Mitie FM limited, Mitie Security (Knightsbridge) Limited and Mitie FS(UK)Ltd)","SG, DS, CCTV, KH, CP",31-Mar-27,approved,sia_acs_register_html
MJ EVENTS SUPPORT LIMITED,MJ Events Support Limited,"SG, DS",30-Apr-28,approved,sia_acs_register_html
MOMENTUM SUPPORT LIMITED T/A ABM IRELAND,Momentum Support Limited T/A ABM Ireland,SG,31-Jul-28,approved,sia_acs_register_html
MONITORED GUARDING LIMITED T/A TAURUS SECURITY GROUP,Monitored Guarding Limited t/a Taurus Security Group,SG,31-Oct-26,approved,sia_acs_register_html
MONTAGUE PARR LIMITED,Montague Parr Limited,SG,30-Jun-28,approved,sia_acs_register_html
MPD FM LIMITED,MPD FM Limited,"SG, KH, CCTV",31-May-27,approved,sia_acs_register_html
MPW SECURITY SOLUTIONS LTD,MPW Security Solutions Ltd,"SG, DS",28-Feb-29,approved,sia_acs_register_html
MSG SECURITY LIMITED (TRADING AS PRO-GUARD SECURITY),MSG Security Limited (trading as Pro-Guard Security),"SG, KH",31-May-29,approved,sia_acs_register_html
MSS FACILITIES SERVICES LIMITED,MSS Facilities Services Limited,SG,30-Nov-28,approved,sia_acs_register_html
MY VISION SECURITY LIMITED,My Vision Security Limited,"SG, KH",30-Nov-26,approved,sia_acs_register_html
N5 SECURITY LTD,N5 Security Ltd,SG,31-Dec-26,approved,sia_acs_register_html
NATION SECURITY UK LIMITED,Nation Security UK Limited,DS,28-Feb-29,approved,sia_acs_register_html
NATIONAL WORKFORCE LIMITED,National Workforce Limited,"SG, DS",30-Sep-28,approved,sia_acs_register_html
GUARDUS LIMITED,Guardus Limited,SG,31-May-28,approved,sia_acs_register_html
NEWLAND SECURITY LTD,Newland Security Ltd,SG,30-Apr-29,approved,sia_acs_register_html
NE SECURITY LIMITED,NE Security Limited,"SG, CCTV",29-Feb-28,approved,sia_acs_register_html
NEW CONCEPT SECURITY LTD,New Concept Security Ltd,"SG, DS, KH",31-Mar-28,approved,sia_acs_register_html
NEW DAWN SECURITY & TRAINING LIMITED,New Dawn Security & Training Limited,"SG, DS",30-Jun-27,approved,sia_acs_register_html
NEXT LEVEL SECURITY GROUP LTD,Next Level Security Group Ltd,"SG, KH",31-Aug-26,approved,sia_acs_register_html
NEXUS SECURITY LIMITED,Nexus Security Limited,SG,31-Aug-26,approved,sia_acs_register_html
NIGHT WATCH SECURITY SERVICES LTD,Night Watch Security Services Ltd,SG,30-Nov-26,approved,sia_acs_register_html
NOREMAC SECURITY SERVICES LIMITED,Noremac Security Services Limited,SG,31-Mar-27,approved,sia_acs_register_html
NORSE COMMERCIAL SERVICES LIMITED,Norse Commercial Services Limited,"SG, KH",31-Jul-27,approved,sia_acs_register_html
NORTHERN SECURITY LIMITED,Northern Security Limited,"SG, KH",31-Mar-27,approved,sia_acs_register_html
NOTTINGHAM SECURITY LIMITED,Nottingham Security Limited,"SG, KH",31-Mar-28,approved,sia_acs_register_html
NOVA PROTECTION LIMITED,Nova Protection Limited,SG,31-Aug-26,approved,sia_acs_register_html
NOVUS ALTAIR LIMITED,Novus Altair Limited,"SG, DS, KH, CP",30-Sep-26,approved,sia_acs_register_html
NSL LIMITED,NSL Limited,CCTV,31-Mar-29,approved,sia_acs_register_html
NVC SECURITY LIMITED,NVC Security Limited,"SG, KH",30-Apr-27,approved,sia_acs_register_html
OAK SECURITY SERVICES LIMITED,Oak Security Services Limited,"SG, KH",31-Dec-28,approved,sia_acs_register_html
OAKPARK SECURITY SYSTEMS LIMITED,Oakpark Security Systems Limited,"SG, KH, CCTV",31-Mar-27,approved,sia_acs_register_html
OCS GROUP (UK) LIMITED,OCS Group (UK) Limited,"SG, KH, CCTV, DS",31-Mar-27,approved,sia_acs_register_html
OCTAGA SECURITY SERVICES LIMITED,Octaga Security Services Limited,"SG, KH, CP, DS",31-Oct-27,approved,sia_acs_register_html
OCTAVIAN FACILITIES MANAGEMENT LIMITED T/A OCTAVIAN SECURITY,Octavian Facilities Management Limited t/a Octavian Security,SG,30-Nov-26,approved,sia_acs_register_html
OCULUS SECURITY SOLUTIONS LIMITED,Oculus Security Solutions Limited,"SG, KH",31-Aug-28,approved,sia_acs_register_html
OLTEC GROUP TRADING LTD,Oltec Group Trading Ltd,"SG, CCTV",31-Mar-27,approved,sia_acs_register_html
OLYMPUS COMMERCIAL SUPPLIES LTD T/A MAYBANK SECURITY,Olympus Commercial Supplies Ltd T/A Maybank Security,SG,30-Apr-29,approved,sia_acs_register_html
OM METROPOLITAN TOTAL SECURITY LIMITED,OM Metropolitan Total Security Limited,"SG, KH",31-Jul-27,approved,sia_acs_register_html
ON SITE SECURITY LTD,On Site Security Ltd,SG,30-Jun-28,approved,sia_acs_register_html
ORION SAFEGUARDING LIMITED,Orion Safeguarding Limited,SG. KH,30-Apr-29,approved,sia_acs_register_html
OSG SERVICE GROUP LTD,OSG Service Group Ltd,"DS, SG",30-Apr-28,approved,sia_acs_register_html
OMS GROUP (UKI) LIMITED,OMS Group (UKI) Limited,"SG, KH",30-Jun-29,approved,sia_acs_register_html
OX SUPPORT SERVICES LIMITED,OX Support Services Limited,SG,30-Apr-27,approved,sia_acs_register_html
OXFORD SECURITY SERVICES LTD,Oxford Security Services Ltd,"SG, KH",31-Jan-28,approved,sia_acs_register_html
P.J.I. SECURITY LIMITED,P.J.I. Security Limited,"SG, KH",31-Jan-28,approved,sia_acs_register_html
PACE SECURITY SERVICES LTD,Pace Security Services Ltd,SG,30-Apr-27,approved,sia_acs_register_html
PACIFIC BUSINESS SOLUTIONS LIMITED,Pacific Business Solutions Limited,SG,30-Apr-29,approved,sia_acs_register_html
PALMARIS SERVICES LIMITED,Palmaris Services Limited,"SG, KH, CCTV",31-Jan-27,approved,sia_acs_register_html
